listing_url,name,zipcode,smart_location,country,latitude,longitude
https://www.airbnb.com/rooms/543342,Gran Vía Apartment Catalunya square,8011,"Barcelona, Spain",Spain,41.38385,2.16033
https://www.airbnb.com/rooms/546970,Tendency Sagrada Familia 2-2,8025,"Barcelona, Spain",Spain,41.40418,2.17246
https://www.airbnb.com/rooms/547027,Tendency Sagrada Familia 3-1,8025,"Barcelona, Spain",Spain,41.40201,2.1722
https://www.airbnb.com/rooms/551314,Tendency Sagrada Familia P-1,8025,"Barcelona, Spain",Spain,41.40335,2.17251
https://www.airbnb.com/rooms/551339,Tendency Sagrada Familia P-2,8025,"Barcelona, Spain",Spain,41.40325,2.17156
https://www.airbnb.com/rooms/557772,Modern-ist Apartment,8036,"Barcelona, Spain",Spain,41.38957,2.15568
https://www.airbnb.com/rooms/558366,Single room: morning sun + lots of light in Born,8003,"Barcelona, Spain",Spain,41.38593,2.18416
https://www.airbnb.com/rooms/562169,Two rooms in beautiful apartment.,8032,"Barcelona, Spain",Spain,41.42226,2.17435
https://www.airbnb.com/rooms/562807,Large apartment in Paralelo,8004,"Barcelona, Spain",Spain,41.37334,2.15895
https://www.airbnb.com/rooms/568129,Nice room in the heart of Barcelona,8015,"Barcelona, Spain",Spain,41.38214,2.15563
https://www.airbnb.com/rooms/568185,Comfortable and centrally  room,8015,"Barcelona, Spain",Spain,41.38336,2.15395
https://www.airbnb.com/rooms/572833,In the heart of Gracia,8012,"Barcelona, Spain",Spain,41.4001,2.15641
https://www.airbnb.com/rooms/575139,Art Nouveau Luxury Apartment BCN,8001,"Barcelona, Spain",Spain,41.3846,2.16689
https://www.airbnb.com/rooms/578558,Ca'l Mateu-Sagrada Familia,8020,"Barcelona, Spain",Spain,41.39786,2.18067
https://www.airbnb.com/rooms/582364,Spectacular Modern Uptown Duplex,8023,"Barcelona, Spain",Spain,41.40914,2.1465
https://www.airbnb.com/rooms/590032,Chambre centrique/plage Barcelona,8003,"Barcelona, Spain",Spain,41.3843,2.17989
https://www.airbnb.com/rooms/590503,Cozy apartment  perfect situation - metro & WIFI,8037,"Barcelona, Spain",Spain,41.39954,2.17111
https://www.airbnb.com/rooms/600162,Enjoy! Cozy penthouse ideal for couples.,8031,"Barcelona, Spain",Spain,41.42846,2.16918
https://www.airbnb.com/rooms/600590,COSY QUIET front Sagrada Familia! PERFECT LOCATION,8025,"Barcelona, Spain",Spain,41.40569,2.17175
https://www.airbnb.com/rooms/619728,Atico Sagrada Familia,8013,"Barcelona, Spain",Spain,41.40138,2.17807
https://www.airbnb.com/rooms/619775,Modern and functional apartment near the beach,8005,"Barcelona, Spain",Spain,41.40279,2.20987
https://www.airbnb.com/rooms/630566,modern sunny Attic with pool&garden close to beach,8005,"Barcelona, Spain",Spain,41.405,2.2009
https://www.airbnb.com/rooms/630810,059. Paseo de Gracia 5 Estrellas 11,8008,"Barcelona, Spain",Spain,41.39563,2.16447
https://www.airbnb.com/rooms/637232,1,8020,"Барселона, Spain",Spain,41.41235,2.19816
https://www.airbnb.com/rooms/638009,Barcelona/Poblenou: Sun & Culture,8018,"Barcelona, Spain",Spain,41.40074,2.19445
https://www.airbnb.com/rooms/640268,**Nice  and relax Couple Room** ,8015,"Barcelona, Spain",Spain,41.38082,2.15246
https://www.airbnb.com/rooms/641402,Attic Suite to let  in Barcelona,8028,"Barcelona, Spain",Spain,41.37531,2.13029
https://www.airbnb.com/rooms/645513,"BEACH ,ATTIC APARTMENT TERRACE !",8005,"Barcelona, Spain",Spain,41.39698,2.20116
https://www.airbnb.com/rooms/648112,New room  Barcelona city center,8029,"Barcelona, Spain",Spain,41.38148,2.14399
https://www.airbnb.com/rooms/662879,CENTRAL AND CHARMING FLAT,8004,"Barcelona, Spain",Spain,41.37418,2.15747
https://www.airbnb.com/rooms/663096,★ GAUDI LUXURY by Cocoon Barcelona,8007,"Barcelona, Spain",Spain,41.38971,2.16594
