id,name,zipcode,smart_location,country,latitude,longitude
23710662,"Shared 10 beds dorm in Gracia, near Park Güell",8024,"Barcelona, Spain",Spain,41.41272,2.15731
23720094,Bedroom Eixample area. Plaza España.,8015,"Barcelona, Spain",Spain,41.38055,2.14752
23721307,Habitación con baño privado en Sagrada Familia,8025,"Barcelona, Spain",Spain,41.40524,2.16911
23725943,Private Double Room with a private bathroom,8005,"Barcelona, Spain",Spain,41.39778,2.20062
23726064,Pleasant room with private bathroom in the center,8037,"Barcelona, Spain",Spain,41.39745,2.16547
23739642,Stylish Apartment Sagrada Familia,8009,"Barcelona, Spain",Spain,41.39846,2.17154
23745018,Two single beds. Spacious and near the beach !,8019,"Barcelona, Spain",Spain,41.41498,2.21337
23746086,INDIVIDUAL ROOM VIEWS SAGRADA FAMILIA,8013,"Barcelona, Spain",Spain,41.40323,2.17704
23747599,Barcelona Center Tamarit 2,8011,"Barcelona, Spain",Spain,41.38043,2.16264
23756522,Descanso....,8004,"Barcelona, Spain",Spain,41.37477,2.16071
23757365,1779 - AB Barceloneta Beach Sal I - Lovely three bedroom apartment in Barcelona for rent,8003,"BARCELONA, Spain",Spain,41.38073,2.18746
23759457,Batllo Apartment Barcelona,8007,"Barcelona, Spain",Spain,41.39228,2.16187
23760652,Lovely&Chic ❤ Suite 1min to Las Ramblas,8001,"Barcelona, Spain",Spain,41.37884,2.17379
23765870,1607 - AB Barceloneta Carbonell - Traditional Apartment close to the Beach,8003,"BARCELONA, Spain",Spain,41.38158,2.18711
23766739,Cozy Room In The Heart Of The City ( Las Ramblas ),8001,"Barcelona, Spain",Spain,41.38394,2.16916
23776646,NICE 1BDR APARTMENT IN GOTHIC DISTRICT,8002,"Barcelona, Spain",Spain,41.38038,2.17883
23779650,Acogedora habitación con encanto en Barcelona,8012,"Barcelona, Spain",Spain,41.40151,2.15404
23791776,Barcelona Premium Amplio Piso en Sant Antoni,8015,"Barcelona, Spain",Spain,41.3774,2.15871
23796555,Bright and luxury apartment next to P. de Gracia!,8007,"Barcelona, Spain",Spain,41.39149,2.16653
23797677,Bright double room with balcony,8015,"Barcelona, Spain",Spain,41.37601,2.15108
23799755,Design 2bed in the heart of Gracia,8025,"Barcelona, Spain",Spain,41.40804,2.16514
23803557,Habitación cerca a Sagrada Familia,8041,"Barcelona, Spain",Spain,41.41756,2.1805
23804717,Habitación Preciosa Sagrada Familia,8025,"Barcelona, Spain",Spain,41.40542,2.17676
23809304,Creative Studio with private room close to Beach,8005,"Barcelona, Spain",Spain,41.39929,2.19672
23809447,Artistic room in Poblenou,,"Barcelona, Spain",Spain,41.4069,2.20384
23814991,Cozy apartment in Sagrada Familia,8025,"Barcelona, Spain",Spain,41.40737,2.17778
23815551,Beautiful house with terrace,8012,"Barcelona, Spain",Spain,41.399,2.15798
23821559,Peracamps a tan solo 10 minutos de las ramblas.,8001,"Barcelona, Spain",Spain,41.37714,2.17433
23822180,2626 - AB Glòries Penthouse - Penthouse near Glòries and 22@ district with a private terrace and netflix,8013,"BARCELONA, Spain",Spain,41.40315,2.18012
23834693,Private room at 15 min from the center by metro,8019,"Barcelona, Spain",Spain,41.41936,2.21118
23834724,Room A5,8007,"Barcelona, Spain",Spain,41.38861,2.16668
23852986,Habitacion individual,8041,"Barcelona, Spain",Spain,41.41726,2.17143
23853965,Big room in the <3 of BCN - Best location,8002,"Barcelona, Spain",Spain,41.37879,2.1777
23858743,Linda Habitación acogedora cerca del metro Linea3.,8023,"Barcelona, Spain",Spain,41.40893,2.14479
23865960,Tranquilo 2 rooms cerca Ramblas alquiler mensual,8001,"Barcelona, Spain",Spain,41.37873,2.17233
23870469,Nice room around Raval!,8001,"Barcelona, Spain",Spain,41.37956,2.16967
23873077,¡Room with a beautiful view III,8037,"Barcelona, Spain",Spain,41.3987,2.16654
23877191,Habitación en la Sagrada Familia,8025,"Barcelona, Spain",Spain,41.4066,2.17384
23878031,Lovely Suite en Barcelona,8001,"Barcelona, Spain",Spain,41.38119,2.16358
23888685,Apartment with views by the Hospital Valle Hebron,8035,"Barcelona, Spain",Spain,41.42649,2.13775
23891228,GLORIA 2,8015,"Barcelona, Spain",Spain,41.38105,2.14949
23896642,"Sunny, quiet and cozy apartment in the old town",8003,"Barcelona, Spain",Spain,41.38594,2.17875
23900789,Cozy flat with lit external room in Sants,8028,"Barcelona, Spain",Spain,41.37068,2.1304
23911420,Habitación doble acogedora(Glories-Arc de Triomf),8013,"Barcelona, Spain",Spain,41.39698,2.17966
23913669,Lovely house Parc Güell,8024,"Barcelona, Spain",Spain,41.41245,2.15586
23914531,Fully renovated apartment close to Sagrada Familia,8026,"Barcelona, Spain",Spain,41.41259,2.17804
23915450,New 2bd flat Raval - Wifi - ALQ 23,8001,"Barcelona, Spain",Spain,41.37938,2.16607
23918958,SunnyDoubleBedroom one block away from the beach,8005,"Barcelona, Spain",Spain,41.38884,2.19548
23919529,Sagrada Familia 24,8025,"Barcelona, Spain",Spain,41.40586,2.17238
23921299,Habitación en Barcelona 3,8006,"Barcelona, Spain",Spain,41.39628,2.14792
23922267,Cosy double bedroom in EXCELLENT LOCATION,8003,"Barcelona, Spain",Spain,41.3838,2.18406
23931083,Grenade - Double room whith private bathroom in the city center!,8021,"Barcelona, Spain",Spain,41.39369,2.14925
23931086,Mamey - Nice studio at 7 min. walk of Rambla Catalunya!,8021,"Barcelona, Spain",Spain,41.39372,2.14903
23931258,Guayaba - Nice apartment at 8 minutes walk of Rambla Catalunya!!,8021,"Barcelona, Spain",Spain,41.39303,2.1488
23931327,Kumquat - Nice double room with private bathroom in the city center!,8021,"Barcelona, Spain",Spain,41.39341,2.14725
23931481,Maracuyá - Nice room with private bathroom in the city center!,8021,"Barcelona, Spain",Spain,41.39296,2.14924
23931498,Coconut - Nice studio at 7 min. walk of Rambla Catalunya!,8021,"Barcelona, Spain",Spain,41.39364,2.14795
23939725,UD - Sant Antoni Apartment (1BR) - MID TERM RENTALS,8001,"Barcelona, Spain",Spain,41.37954,2.16575
